file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/cat_74.wav,1,-8.855084291938915,-8.984169577879022,-6.009548433284603,-10.796331110176821,-2.5849103581340778,-2.47723621465793,-8.859164634296441,-7.998577109744669,-8.883270494301211,-10.587222642639942,-13.090915613202963,-15.137744350284947,-22.18135721799197,-21.458346884581815,-21.01542381504387,-27.015942850116005,-25.84145504680679,-46.29149788988834,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492
audio-dataset/cats_dogs/dog_barking_63.wav,0,-20.744439497509205,-7.189046046582388,-14.916589876958103,-18.962064626334623,-28.778905231179934,-27.290835756978325,-27.509721045390414,-39.62828087807177,-37.00393374698794,-32.340617076125646,-41.10285019363153,-41.9620970725039,-41.8489453926515,-41.25896484737377,-40.58238698342726,-37.82944366004056,-40.74554985512021,-42.14688477647682,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875
audio-dataset/cats_dogs/cat_60.wav,1,2.5284056895730056,-8.499817773745225,-6.5412729506985166,-22.14874196019223,-26.524142126002747,-33.949220302290954,-36.71387252004234,-37.93552932487009,-38.407950601304314,-37.4533346591194,-38.44070690964349,-38.42533433424099,-38.56973330193981,-38.469587250586805,-38.526470624385716,-38.1195868311736,-38.42136275606649,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484
audio-dataset/cats_dogs/dog_barking_77.wav,0,-8.222084721822604,2.86377093664959,-5.144089137027189,-8.979190002140546,-18.288686918230884,-20.15210102463005,-24.162243751860878,-29.389273219170697,-32.38955713823478,-36.750111940285315,-36.14001204490449,-37.15877467340752,-38.20323030366404,-38.052716338910734,-37.057625900190345,-34.99244024515577,-37.06246099455046,-40.882823339758076,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805
audio-dataset/cats_dogs/cat_48.wav,1,-22.7706035744706,-10.258954607702016,-4.295001290054031,-2.401420835399406,-13.075085891554936,-31.98800759374395,-37.709454229769555,-36.898470869659384,-36.081998042653225,-38.660504933901485,-39.701107690249444,-38.95162394695438,-35.644818920990666,-35.985497633008954,-36.81792330375381,-38.68315470137993,-39.465626923537805,-40.018532799285595,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043
audio-dataset/cats_dogs/dog_barking_88.wav,0,-8.55720954768135,1.5658071027312515,-3.235058321602216,-5.099808314696559,-8.99266268670534,-19.026466251564063,-15.867519568951165,-20.471300862595253,-34.090581505953516,-42.79551274724141,-38.79555245664052,-39.58314663900477,-43.51199945461787,-39.29593509940144,-37.362820209006905,-36.775924415050255,-38.7826871199294,-46.46587490811243,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594
audio-dataset/cats_dogs/cat_126.wav,1,-32.236139578089656,-24.95845206388577,-21.001234647377583,-19.708185832183343,-16.107837186180856,-15.973545610109879,-18.025615760907506,-17.5164717173206,-15.023511150951293,-17.34597919165736,-20.54052880255412,-21.4724588283699,-19.87327727183978,-21.461582876833248,-24.389141086338466,-25.902464807241792,-32.714841787928385,-43.97209766856856,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531
audio-dataset/cats_dogs/cat_132.wav,1,-12.849131745540955,-6.804233264104439,-4.820404269701371,-10.058239124033195,-15.719585854812891,-15.918684677038941,-17.139694391734682,-21.54042457896478,-21.366653036188406,-14.667667078230785,-18.72047616423475,-27.071272289083876,-28.928440392367804,-24.112169173493637,-19.385590632929556,-26.676908265396666,-32.67203159153042,-42.256466328956385,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719
audio-dataset/cats_dogs/cat_133.wav,1,-0.366817079214915,0.8154878581706467,3.2159385428675806,5.086990948445086,4.886206364573165,-2.014197155380542,-3.2025572959426967,-3.00753274155042,-4.85887133450561,-7.991825888029919,-7.297568058540634,-7.057466739895779,-10.487844953424055,-9.595546076488931,-10.357251175626136,-17.942454575497056,-28.037783423690936,-43.37791877774891,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734
audio-dataset/cats_dogs/cat_127.wav,1,-34.538645113395944,-23.55042398588391,-19.892255010259916,-17.268960492694255,-12.684448052641521,-15.611264495160896,-18.700109927953033,-18.326865669005713,-14.371750937543887,-17.2319144827336,-21.31560964152952,-22.40128719024896,-20.103853091680318,-21.586829610678265,-25.009103998551367,-26.890484698574436,-33.92554262573362,-52.69491274233825,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328
audio-dataset/cats_dogs/dog_barking_89.wav,0,-3.1117768483546016,6.901336314752485,-4.050398967778363,-14.312012639404697,-6.998086657005677,-15.635302580020982,-16.149134935316894,-21.8913106208392,-24.130366979127704,-22.95862555724399,-20.549746032831766,-21.989036953070368,-25.902363967973823,-27.80556420102737,-29.131179935214195,-26.701031570001078,-31.82016047862443,-38.77998538342389,-38.96568298339844,-38.96568298339844,-38.96568298339844,-38.96568298339844,-38.96568298339844,-38.96568298339844,-38.96568298339844
audio-dataset/cats_dogs/cat_49.wav,1,-22.53539702232505,-23.39571279550729,-24.415199027225245,-25.628783148279272,-27.051702720124105,-27.27384456579824,-28.358680270042314,-29.72296088313784,-30.80809229263059,-31.156644996136013,-31.79053868210466,-32.32048578179821,-33.02789921277799,-33.311049102288464,-33.18290296263458,-33.17171808121328,-35.88209997888603,-41.786175085578,-42.44420623779297,-42.44420623779297,-42.44420623779297,-42.44420623779297,-42.44420623779297,-42.44420623779297,-42.44420623779297
audio-dataset/cats_dogs/dog_barking_76.wav,0,-13.54805925891951,-5.427145608719627,-12.34135060015774,-15.79772581457433,-16.139922988967918,-22.507239877489027,-26.904596457774797,-31.256310353012324,-39.68394692458043,-42.16196791427305,-40.664179445517185,-41.17241270758888,-42.71331063761855,-41.61320403609613,-40.01084022425642,-38.07550873949071,-40.31664517816872,-43.70024156281442,-43.84949493408203,-43.84949493408203,-43.84949493408203,-43.84949493408203,-43.84949493408203,-43.84949493408203,-43.84949493408203
audio-dataset/cats_dogs/cat_61.wav,1,-13.413688453161287,-10.543419396867511,-13.47688497830145,-20.09536723063022,-20.297378470844134,-22.375693058652555,-25.29104582295946,-27.727432356627105,-26.08190367110149,-26.2021909158069,-29.178283369262076,-28.6733087565423,-28.894163275744646,-32.22158946148455,-34.81826823841075,-34.69500785876,-41.29952822061537,-47.69557241183609,-48.09087371826172,-48.09087371826172,-48.09087371826172,-48.09087371826172,-48.09087371826172,-48.09087371826172,-48.09087371826172
audio-dataset/cats_dogs/dog_barking_62.wav,0,-9.460255152457805,-0.01739277313864417,-6.597154963299193,-11.346936987921524,-26.57557304722004,-25.059090969925432,-31.32116408276786,-40.362970535606856,-36.37305743546006,-31.87055196705047,-39.245851156243866,-41.23285174027584,-40.7412347903092,-40.747724069476696,-40.199590568451214,-36.60802309273533,-40.43828925036928,-41.35017382334294,-41.35904312133789,-41.35904312133789,-41.35904312133789,-41.35904312133789,-41.35904312133789,-41.35904312133789,-41.35904312133789
audio-dataset/cats_dogs/cat_75.wav,1,-32.59532950046507,-20.907782274592634,-17.381514961135363,-16.295304210345464,-12.259783230267777,-17.04141860576233,-25.710130984074603,-23.327532366176285,-29.435619977920805,-31.65468203873289,-35.761549610784996,-39.634803342184846,-39.38569937021928,-37.672136378394,-38.053134249874326,-39.76169833957224,-40.115138510642716,-40.20631790161133,-40.20631790161133,-40.20631790161133,-40.20631790161133,-40.20631790161133,-40.20631790161133,-40.20631790161133,-40.20631790161133
audio-dataset/cats_dogs/cat_9.wav,1,-18.967242895728337,-16.95960508713608,-11.028806175927743,-4.185801121911984,-8.372666829888363,-15.53804337021943,-17.58251195814606,-14.070642642930828,-17.095151270473643,-25.522046666735992,-29.711156145318764,-32.35011069263731,-34.56808844944099,-29.54330460901384,-22.92020865384634,-25.58352426623369,-31.771044395186685,-38.906644731372985,-39.55612564086914,-39.55612564086914,-39.55612564086914,-39.55612564086914,-39.55612564086914,-39.55612564086914,-39.55612564086914
